Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
OURE11;Títulos e Val Mob;83.40;1109;1.15;1.42;4.22;7.47;14.42;1.41;1.25;1.20;8.34;0.27;1.70;1.91;99888890.89;92.74;0.90;;;;;;;0
CORM11;Híbrido;81.00;412;0.77;0.90;2.76;5.35;11.38;0.92;0.89;0.95;6.20;-2.97;-2.10;-4.27;92123992.72;90.56;0.89;0.89;-2.33;-1.45;0.21;;;0
ARCT11;Híbrido;100.80;16501;1.02;1.00;3.79;8.74;16.82;1.26;1.46;1.40;10.11;-4.84;-3.89;3.29;370887371.89;100.02;1.01;;;;;;;4
RZAK11;Títulos e Val Mob;100.12;13451;1.50;1.52;5.03;9.47;16.17;1.68;1.58;1.35;10.83;0.23;1.75;15.59;323459849.34;95.05;1.05;;;;;;;0
AFOF11;Títulos e Val Mob;91.60;768;1.06;1.21;3.59;7.00;12.92;1.20;1.17;1.08;8.07;-1.47;-0.28;4.74;69465153.20;100.50;0.91;;;;;;;0
BLMC11;Outros;85.80;523;1.17;1.37;3.98;7.52;13.98;1.33;1.25;1.16;8.64;-1.71;-0.37;-5.14;39132486.17;97.95;0.88;;;;;;;0
RECX11;Outros;75.01;17;0.80;1.12;2.91;5.81;11.88;0.97;0.97;0.99;6.86;-8.11;-7.08;-19.38;17976650.17;82.34;0.91;;;;;;;0
SNFF11;Títulos e Val Mob;90.20;6012;0.65;0.71;2.94;5.25;9.65;0.98;0.88;0.80;5.99;3.41;4.14;10.93;235606490.70;94.24;0.96;;;;;;;0
SNCI11;Títulos e Val Mob;100.48;7393;1.25;1.23;3.82;7.78;0.00;1.27;1.30;0.00;9.12;-2.08;-0.88;6.80;25212860.08;100.85;1.00;1.29;1.92;3.24;5.89;;;0
MATV11;Títulos e Val Mob;95.99;1;1.10;1.13;3.80;7.58;0.00;1.27;1.26;0.00;8.71;-2.67;-1.57;7.94;33257502.10;95.77;1.00;1.36;-1.92;-0.59;0.53;;;0
